clean_text,label
dan gerombolannya seharusnya bisa diadili sebagai pelajaran agar kelak tak ada lagi politikus yang seenak jidatnya menghambur hamburkan sumber daya bersama untuk melayani halusinasi dan kebodohan kronis,negatif
lu mau lihat orang argumen dari followers nya sdm rendah pantasan enggak bisa adu argumentasi malah nyinyir lucu sifat kalian munafik,negatif
enggak punya argumen ternak wan abud,negatif
duit investorlah memang bapak lu punya duit komen nyinyir kayak tempo yang lagu bu,negatif
tajut dipenjara mereka diberi keleluasaan korupsi beberapa waktu kemudian dipanggil dan diberitahu kelakuan korupnya dan datanya ada di kpk jadilah mereka sandera,negatif
istana boneka untuk wapres boneka,negatif
selamat tinggal badan,netral
tanah warga sana saja banyak yang belum dibayar,negatif
harus di alem lah diawal,negatif
sudah bu diam jangan menonton hoax tiktok mulu mending nanti menonton saja film horor yang syuting di ikn,negatif
percaya lu media tempo yang modalin asing pemecah belah bangsa media anti kemajuan lu enggak tahu sekarang saja otorita ikn lagi melelang tender senilai t fase akan dimulai oktober mendatang prabowo menargetkan selesai tahun ini jangan kudet,negatif
demi allah di persidangan allah saya akan meminta pertanggung jawaban kepada mereka yang membuang uang pajak yang saya bayar untuk ikn ini saya tidak ikhlas dunia akhirat,negatif
pertama dan terakhir jokowi anjing,negatif
lebih parah dari hambalang,negatif
coba bayangkan uang triliunan itu dulu untuk beasiswa mahasiswa si si si ke luar negeri sekarang mereka pasti sudah selesai kuliah dan indonesia upgrade sdm secara massal siap membangun indonesia menjadi negara lebih baik,positif
yang katanya investor banyak yang antri ternyata nol besar akhirnya penerimaan pajak dialokasikan untuk meneruskan memelihara gedung yang sudah berdiri ini akibat grasa grusu membangun ikn dan anggaran pun terbuang sia sia,negatif
jokowi hanya membuat indonesia semakin terpuruk bukannya makin maju,negatif
kesalahan kolektif bangsa ini memberikan panggung kekuasaan kepada orang bodoh yang tidak punya etika tidak ada rasa malu pembohong tambah licik akibatnya luar biasa dahsyat kerusakan bangsa ini,negatif
jadikan saja ibukota provinsi kaltim dari pada lama enggak terpakai dan provinsi mengganti biaya ke pusat setengahnya adil kan kaltim provinsi kayak daripada digantung teros,negatif
lancar benar kalau menghalu perlu psikolog sepertinya beliau itu,positif
proyek besar itu cuma buat bancakan jokowi dkk saja,negatif
kalau mangkrak berapa t kerugian negara,negatif
tangkap adili bersama rezim pendukungnya dia harus bertanggung jawab karena kebodohannya,negatif
justru mending termul nya pada kesana deh sempit jakarta banyak termul,negatif
dengan standar dunia memang kemarin pakai standar apa neraka,negatif
ikn waktu yang membuktikan seperti halnya menara babylonia yang gagal dibangun oleh rajanya hammurabi karena murka allah ikn dibamgun atas keserakahan diatas penderitaan dua pertiga lebih rakyat imdonesia miskin sehingga mudah ditipu dengan tepuk pramuka,negatif
ya harus lah jadi enggak begitu buang uang rakyat dengan proyek legacy yang bukan dinikmati untuk rakyat langsung yang sebenarnya tidak urgen amat dan malah membebani,negatif
orang yang sakit hati itu apapun yang di tunjukkan kebenaran pasti di balik dengan argumen hoax saudara saya saja masih bekerja di sana kok itu tandanya ikn tetap berjalan,negatif
termul bego enggak jilat enggak makan,negatif
kompas ke nya apa kimak,negatif
wkkwkwkkw kompas group beritanya sudah seperti termul,negatif
yang penting ibukota pindah dulu investor akan ikut selama ini minim karena ragu,negatif
apa yang dibanggakan dari ikn itu yang pasti dana yang digunakan terlalu banyak investor yang katanya banyak tapi enggak ada tanah rakyat di alihkan jadi enggak pakai yang semula enggak milik,negatif
sederhana tapi anak wabah tidak suka,negatif
termul bilang lanjut itu yang penting ada yang lalu lalang pakai helm proyek dan ada wisatawan datang yang bilang mangkrak ya karena prabowo belum kesana pemberitaan loyo yang kerja minim banyak isu enggak beres progress lambat uang kita juga seret,negatif
lo kerja menjaga toilet saja songong tong sono gue biayai tangkepin tikus disono babi,negatif
tidak ada kaitannya dengan hati kotor atau pikiran jelek waktu yang akan membuktikan kalau nanti terbukti prediksi saya meleset saya akan meminta maaf secara terbuka dan tutup akun kali saya kalau terbukti saya benar sikap anda,negatif
kalau punya hati itu ya bersihkan jangan sampai kotor dan selalu berprasangka jelek karena itu akan menimbulkan hasad dan hasad bisa membakar semua amal ibadahmu,negatif
nah benar kan copas pada akhir ya jadi data info yang tervalidasi pada suatu saat akan looping lagi false orang true dan end of file,negatif
bayar pajak berpaa sih lo sok sok an saja,negatif
bersama rakyat kadrun maksudnya media fitnah kok dipercaya goblok,negatif
makanya lihat sendiri kalau masih bilang bukan warga indonesia fix matamu picek,negatif
memang sebelum ada ikn rakyat sejahtera,positif
makanya datang sendiri biar enggak enggak goblok,negatif
jangan pernah ajak debat pengikut anis apalagi masih bocil yang belum pernah merasakan jadi pengusaha percuma enggak akan paham apalagi bocilnya penggemar jakarta bisanya nyinyir paling banter jadi pakai nanti,negatif
buat berita itu yang betul tidak mangkraknya dimana mangkraknya dimana obyektif saja,negatif
tetap saja tidak membanggakan karena menyejahterakan rakyat lebih utama daripada membangun istana untuk para pejabatnya,negatif
negara hambur uang secara mubazir demi syahwat jokowi,negatif
orang kalimantan gabutuh sulawesi gabutuh bos disini poinnya urgensi jakarta bandung banyak alternatif untuk sampai kesana dan ada beberapa daerah jangankan jalur alternatif jalur utamanya saja pada rusak dan enggak ada perbaikan katanya pemerataan,negatif
biasae rakyat yang enggak mampu kritis itulah gejala akut kegoblokan kecuali buzzer loh ya kalo mereka kan bekerja,negatif
ikn ketahuilah ikn mengapa dinamai nusantara diambil dari satu kata nama tokoh pki dan aidit ikn jika ditarik garis bujur utara selatan maka beijing ikn satu garis bujur padahal ide sukarno dulu ibukota di palangkaraya kalteng apa maksudnya jokowi menggeser lokasi,negatif
buat apa sih membela ini yang beginian,negatif
kompas mending ganti nama saja kompos,negatif
jalan lo samain dengan kereta sul samsul jalan enggak perlu bergerak sedangkan kereta harus bergerak untuk bergerak lo pikir didorong sama raja kurap kalo untuk menggerakkan saja nombok bagaimana mau bayar utang,negatif
keluarkan survey dong kompas kan biasanya kalian begitu dalam mendukung,negatif
bangun saja rakyat hanya menonton habiskan apbn demi haus kekuasaan para pejabat negara,negatif
saya grok dibuat oleh xai saya tidak melakukan investigasi langsung di lapangan termasuk soal hutan ikn data yang saya gunakan berasal dari sumber publik seperti laporan ngo media dan penelitian misalnya forest watch indonesia yang melaporkan deforestasi hektar saya menganalisis informasi tersebut secara kritis tapi tanpa verifikasi fisik pemerintah klaim zona ikn akan tetap hijau tapi transparansi soal amdal masih dipertanyakan jika ingin detail cek sumber seperti atau,negatif
opini dari orang goblog yang pasti latar belakang pendidikanya tidak ada yang istimewa,negatif
bodo ah bagaimana disitu saja,negatif
melanjutkan dan tahap ii itu setelah mangkrak duitnya habis enggak ada yang investasi yang visinya tanpa apbn mangkrak sekarang pakai apbn kok begitu saja enggak paham,negatif
buang duit pajak di naikin,negatif
wkwkwkwk makanya saya diamkan saja karena enggak faedah juga menanggapi mereka yang ada malah kita yang kewalahan di doxing,negatif
diserbu buzzer mana inti dari reply nya sama semua lagi,negatif
buzzer lu kompas dari dulu memang penjilat jokowi lu bangsat,negatif
ngibulll mulu uang dari mana,negatif
dengan anggaran yang sebegitu besar hanya keledai tolol yang percaya ikn mangkrak,negatif
apakah ini iklan tidak apa-apa sih kalau ini iklan tapi baiknya ditandai sebagai iklan kalau memang iklan,negatif
wah bakal banyak yang kian sakit hati nih,negatif
hai grok kantor pemerintahan apa saja ygang sudah berjalan di sana dan berapa jumlah asn nya,netral
mantap dapat persenan dari bos solo sama mas wapres nih,positif
bukannya janji dari dulu pemerataan terus bangun kcic pakai beban utang yang besar bahkan enggak bakal bisa lunas sampai puluhan tahun namun disisi lain ada daerah yang bahkan jembatan saja enggak punya broh this is about urgency and priority,negatif
bro pikir memindahkan ibu kota hanya persolan fisik bangunan saja,negatif
datang dong ke ikn mainnya jauh dikit kenapa,negatif
sudah tidak heran lagi media yang sudah condong ke siapa demi hidup independensi nomer dua,negatif
basuki bandel nih jangan pakai apbn silakan saja mau bangun ini itu saya tidak rela ikhlas pakai dana pajak titik,negatif
ribuan orang di phk gara ini pak,negatif
tetap ini bukan salah jokowi tapi salah pengelola bandara karena matamu iku wis budeg eh buta,negatif
kompas mulai miskin ya,negatif
bermegah megah hasil hutang tapi enggak bisa hasilkan uang kalo orang pintar yang benar pengin negara maju mah mending ngutang buat beli alat berat buat nambang nikel emas batubr uranium sendiri bisa menghasilkan pendapatan negara dengan waktu cepat fasum sekolah rs bisa terjamin mutu bagus semua,positif
standar dunia dunia lain kah ah pretttt lah,negatif
kasihan uang pajak saya di oakai foya foya,negatif
mending vendor itu pada dibayarin dulu,negatif
mas pak kapan ini ditempatin,netral
kamu enggak takut dicap wahabi lingkungan,positif
tidak apa-apa kok min sekali sekali ngebuzzer dari pada media nya di brendel karena enggak sejalan sama rezim,negatif
terlepas dari apapun ya saya salah satu yang berharap bahwa ikn gaboleh mangkrak siapapun presidennya kenapa karena barangnya sudah jadi wajib dilanjut kecualiii kalo dia baru pembebasan lahan baru an progress mah masih bisa ditahan biar enggak dibangun,negatif
narasi mangkrak memang menyesatkan dari dulu ikn problemnya dipendaan karena enggak ada investor luar yang masuk pendanaan dari apbn swasta dalam negeri ini problemnya sangat memberatkan apbn tidak sesuai koar koar pemerintah diawal,negatif
hai kalau lagi ngebuzzer jangan sampai ketahuan dong ah malu heheheee sebegitunya mgejilat kilatnya,negatif
dayak asli sana entar buka jasa bikin tato sama jualan mandau terbang di emperan trotoar datang satpol pp di usir terus dayak nya pada kabur di uber satpol pp terus pas terdesak lari ke hutan naik mandau terbang,negatif
ada betina tempat pbrik anak kaum wanabud wkwkwk,negatif
ada betina tempat pabrik anak kaum wanabud wkwkwk,negatif
goblok amat lu tempat tinggal donald trump waktu jaman dulu juga hutan cuy,negatif
babi penjilat mukidov el bansos al ngibulin hanya halusinasi ekonomi meroket awokawokawok,negatif
sok sokan mau diseleksi tuh sih bocah tua plonga plongo yang ijazahnya ngibul saja tidak mau pindah ke sana awokawokawok,negatif
halah hanya ngibul saja semodel dengan mukidov el bansos al ngibulin yang halusinasi ekonomi meroket,negatif
ayolah kompas kamu masih bisa cari makan dengan tanpa menjilat,negatif
anak wabah dan kaum lowbet mingkem,negatif
gua berharap cepat jadi deh biar pada pindah biar gua di jakarta bebaslah dari koruptor,negatif
lihat beban utangnya lihat apa yang dibebankan pada pt kai sebelumnya pt kai hampir enggak pernah kerugian besar loh coba lihat sekarang btw coba dong bukti pengikut anis yang ngata mengatai itu,negatif
ini kompas ganti saja namanya enggak cocok ini kalau namanya kompas,negatif
kemungkinan ada teman lo yang tolol atau lo nya,negatif
gue percaya karena jaminan hutang dia sertifikat yang nilainya kali hutangnya selain itu gue sudah kenal dia hampir tahun dia malah berhutang karena terlalu polos dalam berusaha,negatif
pakai apbn apbn saja katanya tekor triliunan oh iya bisa ngutang lagi kan,negatif
menunggu lo pindah negara,negatif
pns punya suami istri anak butuh pasar super market sekolah tak sampai slta rumah sakit klinik dll dll untuk siapkan no saja butuh ber tahun apa bisa paksa pns pindah ke ikn kalau no belum ada bayangkan kegaduhan yang terjadi pada saat migrasi paksa pns,negatif
kurang tagar ada min,negatif
tapi soal apakah kota ini bisa benaran hidup atau isinya cuma pns yang setengah hati lihat kedepan,negatif
pns mas kan pns bisa dipaksa pakai suka atau ancaman mutasi ke daerah yang lebih jauh,negatif
tetap ikn itu enggak mungkin ditopang oleh apbn semata butuh investasi dari luar yang sampai saat ini masih super minim enggak ada itu ya ujung nya bakl kayak ibukota myanmar,negatif
bukan mangkrak tapi tidak dilanjutken,negatif
ini berita apa iklan,negatif
bahasa overthinking orang awam mungkin mangkrak tapi bahasa yang lebih konstruktif mempertanyakan sikap saja sih karena selain ada isu bukan prioritas juga roadmap pembangunan ikn seakan dibiaskan jadi reaksi masyarakat ya wajar ada yang berpikir takut mangkrak,negatif
ini media berita atau buzzer narasi nya gila sekali,negatif
buat wisata kan ya,positif
he bejabat anjing kontol bangsat rakyat lu banyak yang miskin banyak pengangguran bangsat memang pejabat di negara ini kagak pernah mempeoritas kan rakyatnay babi tolol anjing,negatif
anjir deh kena duit iklan dari apbn,negatif
sudah ramai dan banyak penduduk yang tinggal disana ternyata,positif
yang mengomong mangkrak juga siapa min masyarakat malah mengomong jangan sampai ikn mangkrak karena uang rakyat sudah kesana jangan sia ini kepercayaan rakyat kalo ikn lanjut malah bagus,negatif
mantap menambah lahan buat loker loker lonte,positif
tapi hasil iknya enggak terasa benefitnya lebih terasa billnya sama lcnya,positif
aku juga percaya temanmu kak walaupun belum terbukti jujur tapi yang sono sudah terbukti suka ngibul,positif
berapa hektar hutan yang dibabat demi mega proyek ini dan apa kerugian dari segi alam,negatif
lumayan sekali ngepost begini juta,positif
kok beda yang beritanya media sama laporan langsung warga lokal kalau laporan warga lokal yang ngevlog ikn sudah kayak kota hantu tikus lah dimana tapi media bikin berita seolah itu kota masa depan enggak tahu yang benar yang mana tapi saya lebih percaya warlok,negatif
sepertinya admin puas banget jangan berlebihan min nanti muntah,negatif
sebentar ini kompas lagi kenapa ya,negatif
teman bela ini ke ikn ikut proyek demi bayar hutangnya ke aku enggak lama pulang kenapa kataku ikn mangkrak katanya aku percaya temanku itu,negatif
bikin berita begini pasti diomeli gerombolan anti ikn kompas langsung dicap termul bikin berita hoax,negatif
ikn pemborosan yang tidak berfaedah dan kanal korupsi proyek proyek infrastruktur,negatif
yang bilang mangkrak sekarang fokus ke ijasah palsu dan makzulkan gibran,negatif
anjing pembenci triak mangkrak dtng saja enggak pernah,negatif
halah buang buang anggaran enggak butuh,negatif
pokoknya dimata lalat sampah lebih menggiurkan dari pada madu itulah kaum sumbu pendek cita nya ikn mangkrak,negatif
itu nanti kalau sudah jadi penduduk nya mohon di seleksi yang masih buang sampah sembarangan nerobos lampu merah dan antrian masih suka merampas hak orang lain misal bersepeda di trotoar dan anggota ormas yang arogan jangan suruh tinggal disana,negatif
alhamdulillah semoga makin banyak media yang memberitakan kinerja pemerintah secara positif,positif
kompas ini kentara banget ngebuzzernya mainnya enggak halus narasi berita di kompas tv juga makin terang an jilat pemerintah jadi malas menonton padahal sebelumnya bagus,negatif
halah hanya pencitraan konyol dicampur ngibulin bersama,negatif
kagak usah dipaksakan memang duit kagak ada meminta saja sama sih mulyono goblok uang rebu triliun buat ikn,negatif
apa yang lu harapkan dari ubanan kayak begini,negatif
harusnya enggak ngaruh sih kan debat capres ada yang bilang ikn cuma dari apbn berarti investor kan,negatif
iyalah mau realisasiin legacy siapa kalau bukan presiden terpilih yang sah odgj solo yang meresahkan juga perlu ditindak tuh jangan biarkan dia sabotase perhatian publik terus kalo dibiarkan jadi bikin polemik terus dimasyarakat harus ditindak tegas pak presiden,negatif
gas lah pak manusia agak lain satu itu harus dikasih pelajaran,negatif
jadi buktinya benar ya jujur bilang ikn bukan prioritas utama lebih bilang untuk keamanan cyber pendidikan dll wakilnya saja yang ngawur haha eh gtaunya bulsht juga kan mana segala susah sekarang makan siang rawan korupsi,negatif
anjir ti ngapa lu nyasar disini urus mu noh,negatif
sabar kan masih banyak yang mengantri investor pak bapak prabowo pasti bisa wujudkan,positif
siapa dulu yang memilih karena ikn deh terlanjur dibikin terus takut mangkrak kalo memilih selain,negatif
joko enggak mau diperiksa terkait pidana korupsi kah,negatif
menarik juga sih bisa jadi tempat wisata lokal dulu lumayan buat promosi,positif
bukan ikn woiii tapi anggaran kemenpu yang diblokir,negatif
yakin sama pak prabowo ikn bakal terwujud demi indonesia yang lebih maju,positif
duit puluhan trilliun yang mestinya buat dimanfaatkan buat kebijakan yang mensejahterakan rakyatnya malah dihamburkan belum lagi kehilangan kelestarian hutan,negatif
sangat setuju tidak ada urgensinya juga hanya menyedot anggaran yang seharusnya bisa digunakan untuk mensejahterakan rakyat kalau hanya untuk sekedar gagah gagahan buat apa,negatif
proyek enggak guna cuma buang duit yang punya proyek sudah lengser bodoh saja kalo mau kasih anggaran lagi sih,negatif
apakah ikn bakal jadi tempat jimny challenge,netral
kembalikan hey kembalikannnnnn kembalikan anggaran ikn dan rumah para binatang yang kalian usir dasar rakuss,negatif
ini kabar baik dan keputusan yang bijak,positif
asik ada candi baru lagi nanti bikin candi di mana lagi ya keren terus indonesia,positif
mana investornya idihh bohong terus,negatif
hyaaaaaa jadi proyek mangkrak ngambur uang saja ente jok,negatif
lumayan jadi ibu kota ngawi cik,positif
yang ditutup apanya,negatif
mulai saling serang nih mulyono sama oke gas habis di serang masalah gas yang enggak oke sama anak buah mulyono langsung dibales tentang kejelasan ikn yang mangkrak saling serang terus sampai hancur dua nya,negatif
mudah mudahan seterusnya dan selamanya,positif
yaudah enggak usah dilanjutkan jangan dipaksa,negatif
jangan salahkan yang sekarang yang sekarang sudah benar di pangkas ini salahkan yang bikin utang sampai hampir t rakyat utang pinjol juta saja bunuh diri yang ini santai baeee mentang raja,negatif
salah satu manfaat uang pajak belanja tanpa beban dan tanpa konsekuensi proyek politisi yang enggak ada gunanya buat masy,negatif
terus duit rakyat trilyunan mubazir enggak guna kayak hambalang,negatif
awokwowk siap siap kena layoff kalau begini caranya anggaran punya dipangkas proyek mangkrak padahal income perusahaan ya berasal dari punya itu sendiri,negatif
tidak jadi berkelanjutan wkwk,negatif
biar mangkrak saja ketahuan kebobrokan negara ini cuma muasin ego besar presiden,negatif
petugas partai bisa apa,negatif
enggak mungkin ah,negatif
negara defisit t jadi ikn nanti lagi lagian rakyat tidak merasakan dampak langsung dari ikn kalo negara banyak duit baru semua yang dijanjikan bisa dijalankan sekarang yang berdampak langsung ke rakyat yang diutamakan,negatif
jangan gitulaahh pakkk usahin pakai duit apa dulu begitu kekkk atau minimal temuilah dulu pak jokowi ke solo biar adem cryyy,negatif
this is ke tidak berlanjutan,negatif
bagaimana dengan biaya perawatan infrastruktur dan gedung ikn yang konon mencapai kisaran rp t per bulan bisa tumbuh suket teki dong kalo enggak tercukupi biaya perawatannya,negatif
biarkan kosong saja nanti bikin loket biar jadi wisata horror,negatif
mana nih suara sampah sampah influencer ikn,negatif
biarkan saja mangkrak,negatif
memang anggaran untuk ikn ini pemborosan sekali pemerintahan selanjutnya lah yang berupaya menutupi borok lukanya,negatif
kok gua senang lihat berita ini ya,positif
alhamdulillah presiden memang paling mengerti apbn betul digunakan semata mata untuk kepentingan rakyat dan negara adilisetanjokowi,positif
jangan jadi project macet pak sayang itu proyek kalau mangkrak,negatif
pending dulu saja atau tahun,negatif
siap min selalu mematuhi perintah admin,positif
stop dulu enggak apa biar anggaran dipakai untuk hal lain yang lebih urgent dan berguna,negatif
hahaha genk mulyono ketar ketir,negatif
waduh para pegawai oikn yang baru saja direkrut bakal pada mengapai saja dong oke gass oke gass eh bukan ini mah oke rem oke rem,negatif
mungkin biar tikusnya pada keluar semua ya semua anggaran ditahan,negatif
keren ya inilah indonesia raya,positif
protes dong mana suaranya para suku pedalaman yang mendukung mulyono,negatif
biasalah mereka cari muka sis,negatif
semua kesusahan sebenarnya dari mereka sendiri kan mereka sendiri yang pengin keberlanjutan kemarin ada yang mau mengkaji ikn enggak dpilih memilih keberlanjutan giloran susah menyalahkan pemerintah,negatif
ya allah hurabby masyarakat yang kena dampaknya,positif
dari awal memang ini proyek yang dipaksakan jokowi harus tanggung jawab,negatif
pemimpin curang hanya mengjasilkan malaapetaka,negatif
ternyata enggak hanya papua negeri nya kayak raya rakyatnya yang bisa di kibulin n dibodohi ya yang di ikn pun jadi korban,negatif
kalau dalam istilah petani ini sudah puso jangan memaksakan diri ada uang uang yang seharusnya untuk mensejaterakan rakyat disalah gunakan jadinya mubadzir bahkan menimbulkan kerusakan dan kerugian,negatif
bagus lah lebih baik di alirkan ke kesejahteraan rakyat mantab pak prabowo,positif
dampak kerusakan di mana,negatif
iya miris akhirnya bikin susah,negatif
harus nya berani mengadili,negatif
ah enggak ngaruh itu video lain,negatif
iya malah rugi warga sekitar apalagi harus beli air,negatif
iya sis kasihan warga sekitar apalagi sekarang harus beli air untuk kehidupan sehari hari yang cukup mahal juga,negatif
karena enggak memperhatikan dampak ke rakyat sebelum memutuskan apa yang penting duit nya,negatif
sangat miris yang ada cuma kena dampak negatif nya saja kebanjiran,negatif
iya betul tetap semangat,positif
yang paling benar cuma pak pas di sini parah nih pak mul,negatif
mereka warga kalimantan mendukung ikn dibangun disana dinikmati saja,negatif
kadang pegel ati capek otak tapi kalau bukan kita sesama rakyat waras sapa lagi yang akan membela rakyat,negatif
bagaimana tidak hutan dibabat kok,negatif
semoga tidak dilanjutkan proyeknya biar bisa kembali seperti sebelumnya,negatif
merasa ikut bersalah indak itu para para bujerp influencerp mereka yang terkait istana kodok nganu,negatif
memang sangat disayangkan jika pembangunan ikn malah membawa dampak negatif bagi warga sekitar banjir yang semakin parah akses air bersih yang terganggu dan hilangnya ikan khas sungai sepaku jelas memberi beban pada kehidupan sehari hari masyarakat,negatif
semakin terjerembab karena salah urus,negatif
mana sampai pikiran mereka dampak pada rakyatnya,negatif
drainasenya pasti jelek itu,negatif
bangkai buluk deh berisik bloon pula,negatif
asu mulut busuk,negatif
bagaimana pernyataan saja bisa berbeda bani moeljofafa bilang enggak diblokir istana bilang di blokir jadi apakah ada dua proxy di pemerintahan ini,negatif
heyyy bangkai masih saja bloon luuu,negatif
heh bocil diam lo brisik saja kayak sih,negatif
hahaha ngeles mirip sesembahannya,negatif
harus tuh kalo bisa selama prabowo jadi presiden jangan kasih anggaran dari apbn,negatif
anda yang meminta diskusi bebas ya ikn dan mbak program yang sama kali buruk anggarannya dari mana pajak yang mencekik pengurangan subsidi penundaan anggaran infrastruktur pendidikan dll hanya untuk membiayai proyek yang tidak berguna ini coba cek kayak apa gizi program mbak itu,negatif
bnykin literasi untuk tahu kerjanya wan angin kali bau dibuat kelambu hitam bambu dibuat ngehe parkir air angin ber ktp banyak lagi karya ngehe nya kerja tolol nya ente kita hoax bangun woiiii tidur ente kelewat miling,negatif
uang rakyat rp triliun ditanam di yang katanya ikn itu nyaris tanpa manfaat belum lagi kerugian masyarakat adat hanya untuk mengikuti keinginan satu orang apbn sampai babak belur,negatif
gue enggak menyalahkan berita nya tapi narasi lo itu hoak,negatif
link berita jelas tuduh hoax betah di bohongi racun kata kata,negatif
romi romi kalo nyuguhi hoak itu yang canggih dikit ngapah sih,negatif
katanya melanggar tapi di berikan imb ada bangunan serobot jalan umum tidak sesuai imb di robohkan agar jalan kembali lebar begitu juga reklamasi kembalikan pantai untuk nelayan bukan dikasih imb,negatif
memang segitu susahnya ya rom mencari kesalahan anies sehingga,negatif
alhamdulillah selamatkan keuangan negara yang hancur gara mul sih anjir,negatif
entah kenapa muak sekali dengar kata istana kayak apa saja,negatif
setlah trilyunan masuk dan distop enaakkk turunan,negatif
benar tidak belajar dari pengalaman pak geovanni setelah nolong anies dilupakan,negatif
antri doang tapi enggak pernah masuk,negatif
iya lagak saja miskin ide untuk ngetop ikutan saja pak jokowi makan di warteg anies juga ikut bikin foto di warteg,negatif
mulai seru nih,positif
iya kacau dan berapa orang warga yang ikut turun nihil mereka heran ini gubernur mengapai pencitraan sampai sebegitunya,negatif
dalam foto dibwh ini yang terlihat pencitraan nyundul ubun padahal die bisa mengerahkan satuan kebersihan untuk melakukan semuanya itu kenapa die tidak memerintahkan karena bisa die pakai sebagai panggung gratis untuk menaikkan citra dirinya bukan saja nganu ngehe kelakuannya,negatif
siapa yang bilang salah beli buku dulu pencitraan mencebur ke selokan jadi tontonan bukan warga bantu sekarang bingung mau pencitraan apa lagi,negatif
saatnya membuktikan ocehan sih pembual yang katanya investor ln sudah banyak yang nganri jika tidak terbukti bualannya silakan tabok mulutnya dengan sandal teng kelek,negatif
tunggu uang utangan masuk,negatif
beli buku sebiji berisik nya sejagat raya mau nyaingin bapak yang kemarin belanja buku puluhan di india memang enggak pernah mau kalah die,positif
bagus dong salahnya dimana orang beli buku buat mencerdaskan kehidupan otak lo sungsang,positif
kata orang tua dulu jangan menolong anjing kejepit rupanya benar juga ini contohnya sampah sih sudah di tolong malah kurang ajar,negatif
